,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
0,0,49,1,road,0,,-57.0,-34.431876606684,-111.0,-109.0,-10.938303341903064,61.0,31.982458880452786,47.86123519746161
1,1,49,1,road,1,,-57.0,5.501291989663969,80.0,65.0,41.72222222222217,93.0,31.982458880452786,47.86123519746161
2,2,49,1,road,2,,-136.0,-283.8534704370179,-437.0,223.0,25.964010282776144,-113.0,31.982458880452786,47.86123519746161
3,3,49,1,road,3,,-10.0,-60.46883116883123,-97.0,168.0,163.03376623376562,167.0,31.982458880452786,47.86123519746161
4,4,49,1,road,4,,71.0,56.97809278350508,13.0,-23.0,43.07216494845443,78.0,31.982458880452786,47.86123519746161
5,5,49,1,road,5,,232.0,138.0883116883117,14.0,187.0,195.6597402597404,252.0,31.982458880452786,47.86123519746161
6,6,49,1,road,6,,-20.0,43.84645161290314,-40.0,80.0,89.70580645161272,31.0,31.982458880452786,47.86123519746161
7,7,49,1,road,7,,88.0,52.46074646074635,16.0,78.0,118.15186615186576,95.0,31.982458880452786,47.86123519746161
8,8,49,1,road,8,,51.0,89.91096774193556,144.0,294.0,176.74967741935552,182.0,31.982458880452786,47.86123519746161
9,9,49,1,road,9,,119.0,82.44415584415583,-12.0,-96.0,-11.796103896103888,96.0,31.982458880452786,47.86123519746161
10,10,49,1,road,10,,-12.0,35.89677419354837,26.0,-204.0,-91.46580645161248,-162.0,31.982458880452786,47.86123519746161
11,11,49,1,road,11,,-67.0,10.365979381443594,-4.0,43.0,-33.17912371134025,-36.0,31.982458880452786,47.86123519746161
12,12,49,1,road,12,,-24.0,45.38867438867442,124.0,33.0,89.22522522522559,-43.0,31.982458880452786,47.86123519746161
13,13,49,1,road,13,,119.0,111.19176319176312,169.0,179.0,161.9099099099103,161.0,31.982458880452786,47.86123519746161
14,14,49,1,road,14,,286.0,127.7428940568476,-131.0,433.0,334.12015503875955,301.0,31.982458880452786,47.86123519746161
15,15,49,1,road,15,,165.0,52.14044213264003,-82.0,201.0,314.26657997399207,377.0,31.982458880452786,47.86123519746161
16,16,49,1,road,16,,44.0,57.90322580645147,64.0,327.0,248.9458064516125,247.0,31.982458880452786,47.86123519746161
