,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
0,0,0,0,road,0,,51.0,58.36481241914635,89.0,-148.0,-157.60413971539492,-227.0,87.897658689879,-80.03047443840023
1,1,0,0,road,1,,139.0,165.9520103761348,163.0,-488.0,-382.7859922178986,-300.0,87.897658689879,-80.03047443840023
2,2,0,0,road,2,,314.0,287.00773195876303,248.0,-701.0,-627.5231958762874,-531.0,87.897658689879,-80.03047443840023
3,3,0,0,road,3,,388.0,387.4064935064935,331.0,-763.0,-741.3142857142852,-805.0,87.897658689879,-80.03047443840023
4,4,0,0,road,4,,292.0,273.21907216494856,260.0,-836.0,-744.5128865979377,-745.0,87.897658689879,-80.03047443840023
5,5,0,0,road,5,,213.0,241.5670103092782,252.0,-819.0,-740.4213917525772,-741.0,87.897658689879,-80.03047443840023
6,6,0,0,road,6,,325.0,264.77864583333326,228.0,-745.0,-787.3893229166661,-892.0,87.897658689879,-80.03047443840023
7,7,0,0,road,7,,177.0,175.67783505154637,182.0,-655.0,-534.0309278350524,-383.0,87.897658689879,-80.03047443840023
8,8,0,0,road,8,,112.0,166.25322997416026,154.0,-1068.0,-1037.8049095607234,-1149.0,87.897658689879,-80.03047443840023
9,9,0,0,road,9,,136.0,140.4057217165149,150.0,-1337.0,-1263.473342002601,-1200.0,87.897658689879,-80.03047443840023
10,10,0,0,road,10,,179.0,87.35907335907336,46.0,-1022.0,-758.5855855855852,-571.0,87.897658689879,-80.03047443840023
11,11,0,0,road,11,,146.0,162.28145265888446,157.0,-404.0,-477.569390402075,-539.0,87.897658689879,-80.03047443840023
12,12,0,0,road,12,,260.0,237.3536269430051,183.0,-629.0,-608.6398963730562,-576.0,87.897658689879,-80.03047443840023
13,13,0,0,road,13,,214.0,161.09897172236492,123.0,-713.0,-602.0488431876606,-454.0,87.897658689879,-80.03047443840023
14,14,0,0,road,14,,61.0,66.67098445595855,70.0,-412.0,-354.88341968911936,-273.0,87.897658689879,-80.03047443840023
15,15,0,0,road,15,,178.0,137.87612903225806,132.0,-720.0,-515.1432258064515,-459.0,87.897658689879,-80.03047443840023
16,16,0,0,road,16,,158.0,130.74097938144348,120.0,-598.0,-535.3311855670099,-525.0,87.897658689879,-80.03047443840023
17,17,0,0,road,17,,121.0,86.42372881355925,41.0,-539.0,-541.7157757496748,-674.0,87.897658689879,-80.03047443840023
18,18,0,0,road,18,,28.0,108.3509677419354,157.0,-502.0,-372.70580645161226,-339.0,87.897658689879,-80.03047443840023
19,19,0,0,road,19,,56.0,162.34883720930225,170.0,-591.0,-499.2674418604656,-376.0,87.897658689879,-80.03047443840023
20,20,0,0,road,20,,108.0,120.61348897535665,109.0,-704.0,-629.3164721141366,-613.0,87.897658689879,-80.03047443840023
21,21,0,0,road,21,,46.0,6.916344916344883,-29.0,-316.0,-328.6975546975545,-299.0,87.897658689879,-80.03047443840023
22,22,0,0,road,22,,254.0,194.33764553686945,179.0,-671.0,-588.8835705045276,-602.0,87.897658689879,-80.03047443840023
23,23,0,0,road,23,,139.0,151.28719275549815,187.0,-562.0,-333.5278137128076,-414.0,87.897658689879,-80.03047443840023
24,24,0,0,road,24,,321.0,260.7619047619048,322.0,-186.0,-225.4066924066924,-302.0,87.897658689879,-80.03047443840023
25,25,0,0,road,25,,-67.0,0.5545454545454049,29.0,-173.0,-156.71948051948038,-191.0,87.897658689879,-80.03047443840023
26,26,0,0,road,26,,30.0,90.46134020618558,74.0,234.0,113.78865979381452,133.0,87.897658689879,-80.03047443840023
27,27,0,0,road,27,,122.0,107.47293814432987,112.0,89.0,108.69716494845352,90.0,87.897658689879,-80.03047443840023
28,28,0,0,road,28,,154.0,145.77662337662332,149.0,132.0,56.81038961038894,68.0,87.897658689879,-80.03047443840023
29,29,0,0,road,29,,159.0,180.1729032258063,165.0,-145.0,-153.86322580645128,-127.0,87.897658689879,-80.03047443840023
30,30,0,0,road,30,,3.0,56.43410852713168,-8.0,-449.0,-212.9909560723513,16.0,87.897658689879,-80.03047443840023
31,31,0,0,road,31,,576.0,366.75356679636855,311.0,-519.0,-345.6809338521407,-229.0,87.897658689879,-80.03047443840023
32,32,0,0,road,32,,648.0,501.6529032258061,339.0,160.0,-26.91612903225769,-158.0,87.897658689879,-80.03047443840023
33,33,0,0,road,33,,244.0,115.26520051746456,-25.0,-174.0,-179.53298835705027,-156.0,87.897658689879,-80.03047443840023
34,34,0,0,road,34,,348.0,231.93264248704625,214.0,-21.0,-86.19948186528472,-131.0,87.897658689879,-80.03047443840023
35,35,0,0,road,35,,109.0,107.4523195876286,267.0,-109.0,-105.8492268041241,-88.0,87.897658689879,-80.03047443840023
36,36,0,0,road,36,,-3.0,107.95979247730202,23.0,-216.0,-191.9753566796362,-145.0,87.897658689879,-80.03047443840023
37,37,0,0,road,37,,187.0,264.46322580645165,326.0,-115.0,-199.2387096774196,-248.0,87.897658689879,-80.03047443840023
38,38,0,0,road,38,,60.0,141.2847938144332,243.0,136.0,143.94201030927843,191.0,87.897658689879,-80.03047443840023
39,39,0,0,road,39,,183.0,101.33593749999976,126.0,57.0,75.73697916666652,34.0,87.897658689879,-80.03047443840023
40,40,0,0,road,40,,44.0,30.703608247422835,79.0,137.0,189.3943298969075,156.0,87.897658689879,-80.03047443840023
41,41,0,0,road,41,,171.0,105.94186046511618,180.0,168.0,271.06718346253274,213.0,87.897658689879,-80.03047443840023
42,42,0,0,road,42,,370.0,316.04020752269787,253.0,295.0,234.20881971465587,274.0,87.897658689879,-80.03047443840023
43,43,0,0,road,43,,245.0,227.278350515464,209.0,164.0,129.48711340206182,131.0,87.897658689879,-80.03047443840023
44,44,0,0,road,44,,121.0,128.0660621761658,94.0,116.0,36.07383419689086,-6.0,87.897658689879,-80.03047443840023
45,45,0,0,road,45,,60.0,68.94825355756791,90.0,30.0,106.39327296248392,150.0,87.897658689879,-80.03047443840023
46,46,0,0,road,46,,90.0,87.81981981981983,83.0,310.0,252.3796653796653,209.0,87.897658689879,-80.03047443840023
47,47,0,0,road,47,,134.0,133.1311688311688,146.0,251.0,202.4246753246753,217.0,87.897658689879,-80.03047443840023
48,48,0,0,road,48,,449.0,258.5219072164949,212.0,253.0,231.73711340206185,233.0,87.897658689879,-80.03047443840023
49,49,0,0,road,49,,330.0,222.77319587628853,89.0,210.0,254.90335051546435,320.0,87.897658689879,-80.03047443840023
50,50,0,0,road,50,,201.0,268.8088426527959,328.0,303.0,289.24057217165137,306.0,87.897658689879,-80.03047443840023
51,51,0,0,road,51,,27.0,41.21907216494833,17.0,151.0,158.97551546391742,132.0,87.897658689879,-80.03047443840023
52,52,0,0,road,52,,76.0,16.519379844961122,0.0,168.0,148.29328165374682,172.0,87.897658689879,-80.03047443840023
53,53,0,0,road,53,,-26.0,-15.640259740259635,-18.0,215.0,220.98441558441527,221.0,87.897658689879,-80.03047443840023
54,54,0,0,road,54,,13.0,18.40025740025743,10.0,109.0,125.71943371943416,101.0,87.897658689879,-80.03047443840023
55,55,0,0,road,55,,51.0,32.06088082901556,5.0,206.0,136.88212435233163,104.0,87.897658689879,-80.03047443840023
56,56,0,0,road,56,,58.0,34.829457364341124,36.0,-37.0,34.16925064599491,17.0,87.897658689879,-80.03047443840023
57,57,0,0,road,57,,5.0,31.558558558558616,18.0,-110.0,-72.87516087516133,-20.0,87.897658689879,-80.03047443840023
