,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
15,15,49,1,road,15,,-403.5,-468.51885565669727,-621.5,-358.0,-331.330949284785,-238.0,-67.83143208218007,-223.72463901774967
16,16,49,1,road,16,,-651.0,-331.4232258064517,-8.5,-362.0,-275.5290322580654,-320.0,-67.83143208218007,-223.72463901774967
17,17,49,1,road,17,,-500.5,-374.5045045045042,-247.0,-265.5,-108.33719433719398,15.5,-67.83143208218007,-223.72463901774967
18,18,49,1,road,18,,-67.0,-58.66946959896495,104.5,-268.5,-229.8835705045276,-109.5,-67.83143208218007,-223.72463901774967
19,19,49,1,road,19,,-143.5,-29.805304010349342,153.5,-257.0,-110.61836998706347,-12.0,-67.83143208218007,-223.72463901774967
20,20,49,1,road,20,,-349.5,-342.9233247422683,-2.5,-271.0,-184.9317010309278,66.0,-67.83143208218007,-223.72463901774967
21,21,49,1,road,21,,-178.5,-145.09108527131798,35.0,-149.5,-249.6627906976744,-253.5,-67.83143208218007,-223.72463901774967
22,22,49,1,road,22,,-101.0,-100.09819121447026,21.0,-88.0,-192.7099483204138,-242.5,-67.83143208218007,-223.72463901774967
23,23,49,1,road,23,,-486.0,-523.8516129032259,-676.0,-375.5,-474.7735483870963,-543.0,-67.83143208218007,-223.72463901774967
24,24,49,1,road,24,,-258.0,-459.3737113402062,-735.0,-332.5,-394.055412371134,-557.0,-67.83143208218007,-223.72463901774967
25,25,49,1,road,25,,-248.0,-286.6330749354006,-251.0,-195.5,-260.8333333333335,-155.5,-67.83143208218007,-223.72463901774967
26,26,49,1,road,26,,-368.0,-344.7036082474224,-308.0,-429.5,-273.4716494845361,-114.5,-67.83143208218007,-223.72463901774967
27,27,49,1,road,27,,-484.5,-409.4864864864867,-523.0,-157.5,-139.4922779922781,-191.5,-67.83143208218007,-223.72463901774967
28,28,49,1,road,28,,-664.5,-411.2474093264252,-378.0,-280.5,-225.11852331606224,-179.5,-67.83143208218007,-223.72463901774967
29,29,49,1,road,29,,-512.0,-424.16110397946113,-328.5,-470.0,-395.42105263157873,-342.5,-67.83143208218007,-223.72463901774967
30,30,49,1,road,30,,-540.5,-437.3320363164722,-461.0,-346.0,-208.25940337224347,-29.5,-67.83143208218007,-223.72463901774967
31,31,49,1,road,31,,-285.0,-424.2347600518806,-624.5,-389.0,-400.08625162127146,-333.0,-67.83143208218007,-223.72463901774967
32,32,49,1,road,32,,-321.0,-261.4954663212434,-291.5,-236.5,-218.58937823834185,-110.5,-67.83143208218007,-223.72463901774967
33,33,49,1,road,33,,-127.0,-212.0271317829456,-235.0,-260.5,-315.0665374677003,-297.0,-67.83143208218007,-223.72463901774967
