,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
0,0,99,4,road,0,,-527.0,-548.1931524547806,-575.0,-454.5,-446.235788113695,-438.0,116.05254322102132,-160.0736960203394
1,1,99,4,road,1,,-527.0,-547.9554263565897,-575.0,-454.5,-445.9431524547799,-438.0,116.05254322102132,-160.0736960203394
2,2,99,4,road,2,,-456.0,-413.6748387096777,-404.0,-284.5,-227.13032258064504,-220.5,116.05254322102132,-160.0736960203394
3,3,99,4,road,3,,-408.5,-304.0866495507064,-336.0,-27.5,-130.1887034659817,-237.5,116.05254322102132,-160.0736960203394
4,4,99,4,road,4,,-177.5,-145.45155038759663,-194.0,-147.5,-160.34883720930247,-212.5,116.05254322102132,-160.0736960203394
5,5,99,4,road,5,,12.0,-21.55749354005161,-180.0,55.5,-37.53423772609858,-220.0,116.05254322102132,-160.0736960203394
6,6,99,4,road,6,,20.5,-42.02445302445312,-107.5,-23.0,-43.393822393822575,-36.5,116.05254322102132,-160.0736960203394
7,7,99,4,road,7,,-122.5,-88.80451612903244,-143.0,-19.5,-68.14774193548419,-36.5,116.05254322102132,-160.0736960203394
8,8,99,4,road,8,,-49.5,-68.23901808785513,-60.5,-168.0,-196.6098191214469,-177.5,116.05254322102132,-160.0736960203394
9,9,99,4,road,9,,-203.0,-214.3579691516709,-235.5,-391.0,-345.6503856041129,-344.0,116.05254322102132,-160.0736960203394
10,10,99,4,road,10,,-129.5,-98.16430412371142,-24.0,-495.0,-416.4213917525772,-300.0,116.05254322102132,-160.0736960203394
11,11,99,4,road,11,,70.0,37.6442432082797,20.0,49.0,-11.198576972833052,-97.0,116.05254322102132,-160.0736960203394
12,12,99,4,road,12,,-130.0,-11.30838709677414,56.5,-31.5,-53.78709677419329,-107.5,116.05254322102132,-160.0736960203394
13,13,99,4,road,13,,27.5,106.72236503856038,163.5,-9.0,2.328406169665641,2.0,116.05254322102132,-160.0736960203394
14,14,99,4,road,14,,102.5,101.15641025641024,80.5,-16.5,24.72756410256397,35.5,116.05254322102132,-160.0736960203394
15,15,99,4,road,15,,-42.0,-5.930789133247345,20.0,31.0,35.35769728331161,-6.5,116.05254322102132,-160.0736960203394
16,16,99,4,road,16,,50.0,-10.544041450776833,-66.5,-27.5,-7.547927461139807,19.0,116.05254322102132,-160.0736960203394
17,17,99,4,road,17,,13.5,62.15721649484544,119.5,60.0,12.905283505154785,67.5,116.05254322102132,-160.0736960203394
18,18,99,4,road,18,,97.5,76.07969151670932,65.0,-58.0,-14.086760925450108,-5.0,116.05254322102132,-160.0736960203394
19,19,99,4,road,19,,167.0,191.6509677419356,271.0,15.0,-5.220000000000255,-15.0,116.05254322102132,-160.0736960203394
20,20,99,4,road,20,,32.0,65.97283311772367,63.5,-8.0,24.65523932729593,49.5,116.05254322102132,-160.0736960203394
21,21,99,4,road,21,,-114.5,-7.996158770806687,-19.5,-133.0,-165.09731113956468,-255.0,116.05254322102132,-160.0736960203394
22,22,99,4,road,22,,-42.0,-9.743902439024623,37.0,-376.5,-316.0962772785624,-341.5,116.05254322102132,-160.0736960203394
23,23,99,4,road,23,,49.0,57.75162127107683,35.0,-69.0,-123.43904020752323,37.5,116.05254322102132,-160.0736960203394
24,24,99,4,road,24,,-11.5,23.40786082474233,42.5,-172.5,-159.68492268041246,-73.5,116.05254322102132,-160.0736960203394
25,25,99,4,road,25,,-33.5,-3.358064516128934,8.5,-306.0,-312.88064516129043,-418.0,116.05254322102132,-160.0736960203394
26,26,99,4,road,26,,39.0,18.908268733850264,56.5,-246.5,-371.29651162790697,-433.0,116.05254322102132,-160.0736960203394
27,27,99,4,road,27,,-5.0,-12.835271317829438,-5.0,-280.5,-193.0723514211886,-161.5,116.05254322102132,-160.0736960203394
28,28,99,4,road,28,,124.0,189.16410256410268,229.0,-115.5,-97.27820512820516,-97.0,116.05254322102132,-160.0736960203394
29,29,99,4,road,29,,205.5,215.9423076923076,220.0,-47.0,-45.52820512820517,16.5,116.05254322102132,-160.0736960203394
30,30,99,4,road,30,,94.5,125.51799485861147,178.5,-2.5,-22.29370179948592,-37.0,116.05254322102132,-160.0736960203394
31,31,99,4,road,31,,33.0,50.57528957528939,135.0,-131.5,-73.15444015444018,-57.0,116.05254322102132,-160.0736960203394
32,32,99,4,road,32,,35.0,110.88803088803115,226.5,-152.0,-136.51737451737426,-181.0,116.05254322102132,-160.0736960203394
33,33,99,4,road,33,,77.5,88.0180412371135,124.5,-51.0,-67.82345360824775,-64.5,116.05254322102132,-160.0736960203394
34,34,99,4,road,34,,24.0,78.39446589446607,151.5,97.0,-21.75289575289571,-145.0,116.05254322102132,-160.0736960203394
35,35,99,4,road,35,,77.5,117.30699481865328,179.5,-181.5,-154.106865284974,-180.0,116.05254322102132,-160.0736960203394
36,36,99,4,road,36,,7.0,-13.170951156812407,-26.0,-92.5,-29.673521850899533,-86.5,116.05254322102132,-160.0736960203394
37,37,99,4,road,37,,5.5,70.92747111681638,140.5,145.5,13.404364569961215,-12.0,116.05254322102132,-160.0736960203394
38,38,99,4,road,38,,-23.0,28.835695876288582,150.5,93.0,1.0682989690726572,-133.5,116.05254322102132,-160.0736960203394
39,39,99,4,road,39,,55.5,51.13012820512836,14.0,-139.0,-94.5230769230766,-52.0,116.05254322102132,-160.0736960203394
40,40,99,4,road,40,,-34.0,29.013496143959173,94.5,-85.5,-133.34897172236538,-159.5,116.05254322102132,-160.0736960203394
41,41,99,4,road,41,,23.0,38.89664082687341,45.5,-71.0,-134.75258397932885,-128.5,116.05254322102132,-160.0736960203394
42,42,99,4,road,42,,-26.5,21.42480719794344,110.0,-165.5,-181.54691516709545,-227.5,116.05254322102132,-160.0736960203394
43,43,99,4,road,43,,-141.0,-54.90738341968927,46.0,-491.5,-436.0809585492232,-510.5,116.05254322102132,-160.0736960203394
44,44,99,4,road,44,,-100.0,-39.71520618556701,1.5,-362.0,-290.15914948453656,-137.0,116.05254322102132,-160.0736960203394
45,45,99,4,road,45,,-106.5,-68.80912596401026,-49.0,-301.0,-387.0321336760924,-331.0,116.05254322102132,-160.0736960203394
46,46,99,4,road,46,,-227.5,-220.6474358974358,-227.5,-545.0,-547.7794871794874,-545.0,116.05254322102132,-160.0736960203394
47,47,99,4,road,47,,-246.0,-172.98188874514858,45.0,-307.5,-496.0084087968953,-431.5,116.05254322102132,-160.0736960203394
48,48,99,4,road,48,,-250.0,-235.1433161953728,-253.5,-800.0,-762.584190231363,-840.5,116.05254322102132,-160.0736960203394
49,49,99,4,road,49,,-157.5,-207.15894465894416,-208.5,-647.5,-706.2902187902187,-652.5,116.05254322102132,-160.0736960203394
50,50,99,4,road,50,,-143.5,-210.8187660668384,-312.0,-644.5,-778.4370179948589,-980.5,116.05254322102132,-160.0736960203394
51,51,99,4,road,51,,-188.0,-203.7270967741938,-282.5,-629.5,-689.2361290322578,-847.0,116.05254322102132,-160.0736960203394
