,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
0,0,0,0,road,0,,-262.0,-236.59831824062096,-289.5,-213.0,-153.31759379042683,-212.5,-23.80996319562973,-415.85876176546753
1,1,0,0,road,1,,-291.0,-241.84370946822287,-304.0,-347.5,-277.1271076523999,-259.0,-23.80996319562973,-415.85876176546753
2,2,0,0,road,2,,-75.0,-91.70038659793818,-52.5,-231.0,-185.70167525773195,-199.5,-23.80996319562973,-415.85876176546753
3,3,0,0,road,3,,-222.0,-125.15974025974036,-40.5,-130.5,-169.19090909090892,-180.5,-23.80996319562973,-415.85876176546753
4,4,0,0,road,4,,-85.0,-50.34149484536033,-43.5,-234.5,-246.15141752577347,-249.0,-23.80996319562973,-415.85876176546753
5,5,0,0,road,5,,-238.0,-195.93878865979423,-221.0,-212.0,-279.4722938144328,-346.0,-23.80996319562973,-415.85876176546753
6,6,0,0,road,6,,-75.0,-64.32552083333326,-1.5,-401.5,-397.571614583333,-403.0,-23.80996319562973,-415.85876176546753
7,7,0,0,road,7,,-37.0,-86.24033505154648,-174.0,-363.0,-378.1494845360826,-388.5,-23.80996319562973,-415.85876176546753
8,8,0,0,road,8,,-65.0,61.3863049095612,109.5,-67.0,-108.70219638242908,-76.0,-23.80996319562973,-415.85876176546753
9,9,0,0,road,9,,48.5,71.81989596879043,-2.5,-94.5,-141.6040312093628,-260.5,-23.80996319562973,-415.85876176546753
10,10,0,0,road,10,,-127.5,-117.78378378378376,-280.5,-155.0,-168.335907335907,-336.0,-23.80996319562973,-415.85876176546753
11,11,0,0,road,11,,31.5,-186.1802853437096,-258.0,-65.0,-148.52529182879334,-303.5,-23.80996319562973,-415.85876176546753
12,12,0,0,road,12,,-433.0,-211.74805699481885,-51.5,-493.0,-541.9274611398969,-758.5,-23.80996319562973,-415.85876176546753
13,13,0,0,road,13,,-75.5,-182.68701799485848,-214.0,-552.0,-576.9299485861184,-626.5,-23.80996319562973,-415.85876176546753
14,14,0,0,road,14,,-254.0,-219.9766839378237,-246.0,-376.5,-447.5427461139898,-520.5,-23.80996319562973,-415.85876176546753
15,15,0,0,road,15,,-326.5,-239.2225806451611,-231.0,-324.5,-326.510967741936,-365.5,-23.80996319562973,-415.85876176546753
16,16,0,0,road,16,,-30.5,-156.39497422680415,-149.0,-430.5,-401.1050257731959,-362.0,-23.80996319562973,-415.85876176546753
17,17,0,0,road,17,,58.0,-9.90156453715781,-90.5,-305.5,-314.38461538461524,-329.0,-23.80996319562973,-415.85876176546753
18,18,0,0,road,18,,-4.5,36.49161290322581,-32.0,-284.5,-249.1909677419353,-254.0,-23.80996319562973,-415.85876176546753
19,19,0,0,road,19,,-87.5,9.506459948320526,-29.5,-128.5,-149.8598191214469,-145.0,-23.80996319562973,-415.85876176546753
20,20,0,0,road,20,,-51.0,-98.8599221789882,-142.5,-288.5,-283.42088197146586,-227.5,-23.80996319562973,-415.85876176546753
21,21,0,0,road,21,,153.5,128.49420849420835,120.0,-94.0,-120.12355212355168,-207.0,-23.80996319562973,-415.85876176546753
22,22,0,0,road,22,,359.5,211.63195342820177,177.0,-96.5,-41.4974126778784,7.5,-23.80996319562973,-415.85876176546753
23,23,0,0,road,23,,146.0,119.1526520051748,266.5,6.5,-74.87774902975434,-100.0,-23.80996319562973,-415.85876176546753
24,24,0,0,road,24,,120.0,154.4922779922781,171.5,-73.5,-58.70270270270248,-67.0,-23.80996319562973,-415.85876176546753
25,25,0,0,road,25,,-52.0,21.05909090909097,-8.0,-73.0,-92.93506493506491,-145.0,-23.80996319562973,-415.85876176546753
26,26,0,0,road,26,,177.5,221.2036082474225,270.0,10.5,-84.35695876288673,-62.0,-23.80996319562973,-415.85876176546753
27,27,0,0,road,27,,191.0,172.25515463917543,277.0,-448.5,-323.7487113402062,-187.5,-23.80996319562973,-415.85876176546753
