,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
0,0,149,0,road,0,,83.5,52.84070796460173,1.5,-139.0,-191.18584070796533,-368.0,107.73003810547073,-144.27809661274318
1,1,149,0,road,1,,-7.0,29.65719696969734,47.5,-313.5,-389.5126262626261,-473.0,107.73003810547073,-144.27809661274318
2,2,149,0,road,2,,90.0,106.57449494949492,123.5,-430.0,-445.88194444444457,-496.0,107.73003810547073,-144.27809661274318
3,3,149,0,road,3,,150.5,158.41361916771757,179.5,-199.5,-238.4243379571244,-354.5,107.73003810547073,-144.27809661274318
4,4,149,0,road,4,,8.5,44.6954602774274,62.0,-205.5,-171.03783102143802,-275.0,107.73003810547073,-144.27809661274318
5,5,149,0,road,5,,54.0,51.19672131147536,46.5,-109.0,-97.347414880202,-3.0,107.73003810547073,-144.27809661274318
6,6,149,0,road,6,,102.5,94.45707070707078,144.5,-64.5,-182.5839646464642,-245.0,107.73003810547073,-144.27809661274318
7,7,149,0,road,7,,96.0,109.26864728192164,115.5,-220.5,-243.2762326169409,-193.0,107.73003810547073,-144.27809661274318
8,8,149,0,road,8,,27.5,70.77197452229302,124.0,106.0,26.17579617834417,-21.5,107.73003810547073,-144.27809661274318
9,9,149,0,road,9,,171.0,146.33795712484232,157.0,56.5,42.26733921815958,5.5,107.73003810547073,-144.27809661274318
10,10,149,0,road,10,,122.0,105.31715006305149,91.0,179.5,81.71500630517039,-60.0,107.73003810547073,-144.27809661274318
11,11,149,0,road,11,,83.5,80.39044585987267,71.5,-8.5,-48.52101910828014,-60.0,107.73003810547073,-144.27809661274318
12,12,149,0,road,12,,80.0,78.76103404791934,49.5,-3.0,-53.674653215637136,-198.0,107.73003810547073,-144.27809661274318
13,13,149,0,road,13,,100.0,95.17531645569602,122.5,51.0,-66.1082278481008,-72.0,107.73003810547073,-144.27809661274318
14,14,149,0,road,14,,155.5,145.67979669631495,227.5,-169.5,-56.388818297331454,33.0,107.73003810547073,-144.27809661274318
15,15,149,0,road,15,,-153.5,-99.61738578680183,-141.5,-30.0,5.63261421319794,-40.5,107.73003810547073,-144.27809661274318
16,16,149,0,road,16,,-61.5,-33.43837357052087,-20.0,45.5,16.899618805590762,-3.0,107.73003810547073,-144.27809661274318
17,17,149,0,road,17,,21.0,38.23674242424249,120.0,-124.5,-35.690656565656354,-86.5,107.73003810547073,-144.27809661274318
18,18,149,0,road,18,,-3.0,61.94570707070704,111.0,-183.5,-43.058080808080376,-52.0,107.73003810547073,-144.27809661274318
19,19,149,0,road,19,,-77.0,43.3873417721519,132.5,81.0,84.37341772151922,80.5,107.73003810547073,-144.27809661274318
20,20,149,0,road,20,,-50.5,38.676208651399406,89.0,-176.5,-97.29007633587752,-29.0,107.73003810547073,-144.27809661274318
21,21,149,0,road,21,,140.0,145.74431818181824,161.5,-57.0,-68.0757575757575,-215.0,107.73003810547073,-144.27809661274318
22,22,149,0,road,22,,-32.0,16.7188295165397,98.0,-178.0,-148.80534351145025,-175.5,107.73003810547073,-144.27809661274318
23,23,149,0,road,23,,-59.0,-30.15151515151547,-3.0,-25.0,24.24936868686882,14.5,107.73003810547073,-144.27809661274318
24,24,149,0,road,24,,169.0,135.2642585551332,120.0,3.5,50.746514575411766,96.0,107.73003810547073,-144.27809661274318
25,25,149,0,road,25,,3.0,-5.94949494949492,-27.5,141.5,111.07575757575796,125.5,107.73003810547073,-144.27809661274318
26,26,149,0,road,26,,-59.5,-4.842171717171823,-8.5,85.0,59.342803030303,24.0,107.73003810547073,-144.27809661274318
27,27,149,0,road,27,,14.5,44.47211660329504,73.0,63.0,17.249683143219045,-27.5,107.73003810547073,-144.27809661274318
28,28,149,0,road,28,,116.5,113.63177805800753,117.5,130.5,75.69230769230808,15.0,107.73003810547073,-144.27809661274318
29,29,149,0,road,29,,111.0,93.69250317662022,80.0,6.5,-14.651842439644042,-17.5,107.73003810547073,-144.27809661274318
30,30,149,0,road,30,,-13.0,51.54810126582288,72.0,4.0,-73.44936708860769,-122.5,107.73003810547073,-144.27809661274318
31,31,149,0,road,31,,-158.0,-109.1448362720405,-132.0,116.5,1.361460957178224,-95.0,107.73003810547073,-144.27809661274318
32,32,149,0,road,32,,-61.5,-53.88398486759184,-81.5,38.5,-30.56683480454035,-154.5,107.73003810547073,-144.27809661274318
33,33,149,0,road,33,,-53.5,-64.71095717884123,-64.0,117.0,144.78589420654862,182.0,107.73003810547073,-144.27809661274318
34,34,149,0,road,34,,18.0,67.88194444444446,116.0,166.5,60.734217171716864,-7.0,107.73003810547073,-144.27809661274318
35,35,149,0,road,35,,5.0,21.56455696202545,54.0,410.5,337.1734177215187,284.5,107.73003810547073,-144.27809661274318
36,36,149,0,road,36,,55.0,52.094303797468456,66.0,326.0,280.13797468354414,263.5,107.73003810547073,-144.27809661274318
37,37,149,0,road,37,,83.0,83.80793450881606,92.5,90.5,41.37972292191421,24.0,107.73003810547073,-144.27809661274318
38,38,149,0,road,38,,21.5,33.333969465648806,37.5,374.5,325.62977099236605,236.5,107.73003810547073,-144.27809661274318
39,39,149,0,road,39,,1.0,19.14917825537293,37.0,254.5,212.87610619469,194.0,107.73003810547073,-144.27809661274318
40,40,149,0,road,40,,10.0,14.453341740226849,9.5,181.5,87.02206809583868,3.0,107.73003810547073,-144.27809661274318
41,41,149,0,road,41,,99.0,103.71626733921823,128.0,129.5,62.08259773013856,-42.5,107.73003810547073,-144.27809661274318
42,42,149,0,road,42,,153.0,150.22790404040427,151.0,-9.0,-59.19696969696975,-63.0,107.73003810547073,-144.27809661274318
43,43,149,0,road,43,,115.0,128.42739898989907,108.0,-87.5,-84.9520202020201,-100.0,107.73003810547073,-144.27809661274318
44,44,149,0,road,44,,78.5,100.41161616161604,114.0,56.0,43.171717171716864,23.5,107.73003810547073,-144.27809661274318
45,45,149,0,road,45,,49.0,96.93820933165192,72.5,47.0,48.65195460277414,-6.5,107.73003810547073,-144.27809661274318
46,46,149,0,road,46,,81.5,93.5151515151515,99.5,236.0,152.14835858585843,188.5,107.73003810547073,-144.27809661274318
47,47,149,0,road,47,,59.5,50.250000000000114,43.5,162.0,161.65972222222217,18.0,107.73003810547073,-144.27809661274318
48,48,149,0,road,48,,75.0,91.94437420986094,106.5,119.5,89.08407079646008,85.0,107.73003810547073,-144.27809661274318
49,49,149,0,road,49,,34.5,104.34469696969666,159.0,-60.0,-29.648358585858432,7.0,107.73003810547073,-144.27809661274318
50,50,149,0,road,50,,70.5,125.21401515151511,188.5,-93.0,-29.77840909090878,-16.5,107.73003810547073,-144.27809661274318
51,51,149,0,road,51,,161.0,154.47661188369136,192.0,-41.5,16.749051833123076,27.5,107.73003810547073,-144.27809661274318
52,52,149,0,road,52,,98.0,122.23957016434906,100.5,-46.0,-9.46965865992388,1.5,107.73003810547073,-144.27809661274318
53,53,149,0,road,53,,161.0,121.77525252525244,144.0,-11.0,10.885732323232332,-13.0,107.73003810547073,-144.27809661274318
54,54,149,0,road,54,,132.0,134.29419191919192,134.0,160.0,121.9084595959598,120.0,107.73003810547073,-144.27809661274318
55,55,149,0,road,55,,69.5,88.10025380710692,62.5,150.0,169.64022842639588,248.0,107.73003810547073,-144.27809661274318
56,56,149,0,road,56,,126.5,127.96392405063284,137.5,-140.5,-166.61582278481,-221.5,107.73003810547073,-144.27809661274318
57,57,149,0,road,57,,135.0,115.0712484237074,93.5,-268.5,-299.42307692307713,-314.5,107.73003810547073,-144.27809661274318
58,58,149,0,road,58,,118.5,105.92956852791906,59.0,-331.0,-355.4917512690347,-378.5,107.73003810547073,-144.27809661274318
59,59,149,0,road,59,,146.0,135.76256281407018,197.5,-244.5,-238.1507537688442,-173.0,107.73003810547073,-144.27809661274318
60,60,149,0,road,60,,128.0,164.98737373737356,227.0,-404.0,-300.2859848484852,-219.0,107.73003810547073,-144.27809661274318
61,61,149,0,road,61,,128.0,150.5292249047012,201.5,-375.5,-376.438373570521,-309.0,107.73003810547073,-144.27809661274318
62,62,149,0,road,62,,114.0,111.8466921119592,75.5,-252.0,-266.98282442748064,-387.5,107.73003810547073,-144.27809661274318
63,63,149,0,road,63,,79.5,61.4342604298356,84.0,-225.0,-236.0480404551204,-252.0,107.73003810547073,-144.27809661274318
64,64,149,0,road,64,,30.5,43.059974747474826,30.5,-213.0,-211.58901515151547,-213.0,107.73003810547073,-144.27809661274318
65,65,149,0,road,65,,109.0,91.93316519546032,126.5,-247.0,-257.1071878940736,-230.0,107.73003810547073,-144.27809661274318
66,66,149,0,road,66,,68.5,45.22721518987339,74.5,-245.0,-240.08987341772195,-226.5,107.73003810547073,-144.27809661274318
