,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
0,0,99,4,road,0,,119.0,73.0226098191215,82.0,-302.0,-135.18540051679565,-259.5,80.01454824577047,-183.92509859019628
1,1,99,4,road,1,,119.0,74.79651162790697,82.0,-302.0,-136.02583979328165,-259.5,80.01454824577047,-183.92509859019628
2,2,99,4,road,2,,101.0,81.23870967741925,46.0,-10.5,-48.06645161290362,-285.5,80.01454824577047,-183.92509859019628
3,3,99,4,road,3,,583.5,392.3979460847239,167.0,7.0,-10.249037227213648,101.0,80.01454824577047,-183.92509859019628
4,4,99,4,road,4,,376.0,278.93992248062,316.5,-214.5,-53.38372093023236,-13.0,80.01454824577047,-183.92509859019628
5,5,99,4,road,5,,193.0,197.7377260981912,207.5,472.0,242.1679586563309,0.0,80.01454824577047,-183.92509859019628
6,6,99,4,road,6,,266.5,239.14800514800504,231.0,156.5,14.021879021879158,-79.0,80.01454824577047,-183.92509859019628
7,7,99,4,road,7,,263.0,242.77290322580643,276.0,-529.0,-389.0735483870972,-297.0,80.01454824577047,-183.92509859019628
8,8,99,4,road,8,,392.5,320.3087855297158,324.0,-95.0,-226.0032299741601,-185.5,80.01454824577047,-183.92509859019628
9,9,99,4,road,9,,433.5,377.16902313624666,358.0,-1002.0,-793.5295629820052,-751.0,80.01454824577047,-183.92509859019628
10,10,99,4,road,10,,424.0,317.7280927835052,174.0,-238.5,-403.0618556701029,-394.5,80.01454824577047,-183.92509859019628
11,11,99,4,road,11,,118.0,103.73609314359646,110.5,-376.0,-275.5006468305305,-281.5,80.01454824577047,-183.92509859019628
12,12,99,4,road,12,,159.5,160.16129032258073,177.0,-263.5,-342.4251612903222,-464.5,80.01454824577047,-183.92509859019628
13,13,99,4,road,13,,175.0,131.02506426735204,102.0,-503.0,-528.2422879177379,-447.0,80.01454824577047,-183.92509859019628
14,14,99,4,road,14,,67.5,93.05961538461531,90.0,-850.0,-736.7429487179484,-642.5,80.01454824577047,-183.92509859019628
15,15,99,4,road,15,,129.5,105.87192755498064,78.5,-614.5,-503.38357050452805,-346.0,80.01454824577047,-183.92509859019628
16,16,99,4,road,16,,39.0,37.67357512953368,-9.0,-417.0,-381.6049222797929,-352.0,80.01454824577047,-183.92509859019628
17,17,99,4,road,17,,141.0,137.80347938144325,177.0,-510.0,-472.8311855670104,-495.0,80.01454824577047,-183.92509859019628
18,18,99,4,road,18,,161.5,141.16066838046265,102.0,-530.5,-709.2750642673514,-816.0,80.01454824577047,-183.92509859019628
19,19,99,4,road,19,,151.5,106.78774193548384,27.0,313.5,140.89806451612958,58.5,80.01454824577047,-183.92509859019628
20,20,99,4,road,20,,86.5,81.006468305304,92.0,240.0,175.68693402328563,135.5,80.01454824577047,-183.92509859019628
21,21,99,4,road,21,,164.5,42.17477592829698,-37.0,-110.0,-100.22215108834826,-434.5,80.01454824577047,-183.92509859019628
22,22,99,4,road,22,,34.5,6.079589216944896,-1.5,-163.5,-380.168164313222,-368.0,80.01454824577047,-183.92509859019628
23,23,99,4,road,23,,-48.5,-49.34241245136207,-36.0,260.0,33.59338521400741,-224.0,80.01454824577047,-183.92509859019628
24,24,99,4,road,24,,-62.0,-85.78092783505156,-112.0,-216.0,-239.38530927835012,-357.5,80.01454824577047,-183.92509859019628
25,25,99,4,road,25,,-28.0,-46.66838709677427,-86.0,75.5,-143.24967741935552,-212.5,80.01454824577047,-183.92509859019628
26,26,99,4,road,26,,-19.0,-20.42312661498704,-32.5,255.0,77.19186046511595,-308.0,80.01454824577047,-183.92509859019628
27,27,99,4,road,27,,556.0,317.83462532299734,225.5,247.5,247.92312661498727,353.0,80.01454824577047,-183.92509859019628
28,28,99,4,road,28,,551.0,455.34487179487166,331.5,53.5,232.8653846153848,385.5,80.01454824577047,-183.92509859019628
29,29,99,4,road,29,,268.5,216.7012820512822,135.0,-61.0,89.73141025641144,245.0,80.01454824577047,-183.92509859019628
30,30,99,4,road,30,,145.0,164.61825192802064,213.5,305.0,225.9344473007718,268.0,80.01454824577047,-183.92509859019628
31,31,99,4,road,31,,72.0,62.273487773487545,21.0,284.0,361.7136422136418,398.5,80.01454824577047,-183.92509859019628
32,32,99,4,road,32,,137.0,112.8204633204632,101.5,-28.5,74.19498069498013,45.0,80.01454824577047,-183.92509859019628
33,33,99,4,road,33,,30.5,44.72293814432987,54.0,321.5,184.7976804123709,80.5,80.01454824577047,-183.92509859019628
34,34,99,4,road,34,,141.0,141.13191763191764,116.5,390.0,305.22329472329375,255.0,80.01454824577047,-183.92509859019628
35,35,99,4,road,35,,160.0,124.10297927461149,117.5,406.0,282.54404145077706,88.5,80.01454824577047,-183.92509859019628
36,36,99,4,road,36,,68.0,32.08676092544988,-16.0,300.0,298.1105398457589,326.0,80.01454824577047,-183.92509859019628
37,37,99,4,road,37,,209.5,89.84467265725277,39.5,118.5,325.07509627727904,385.0,80.01454824577047,-183.92509859019628
38,38,99,4,road,38,,138.5,100.16688144329883,-4.5,408.0,373.1037371134021,339.5,80.01454824577047,-183.92509859019628
39,39,99,4,road,39,,207.5,193.9179487179488,171.5,355.0,328.8519230769234,288.0,80.01454824577047,-183.92509859019628
40,40,99,4,road,40,,224.5,156.8759640102827,88.5,109.0,205.12467866324005,318.5,80.01454824577047,-183.92509859019628
41,41,99,4,road,41,,147.5,124.19638242894052,139.5,104.0,52.69056847545244,-103.0,80.01454824577047,-183.92509859019628
42,42,99,4,road,42,,131.0,151.1561696658099,152.5,69.0,-22.30462724935705,10.5,80.01454824577047,-183.92509859019628
43,43,99,4,road,43,,226.0,129.646373056995,29.5,-6.0,58.3588082901556,89.5,80.01454824577047,-183.92509859019628
44,44,99,4,road,44,,44.5,48.70296391752578,50.0,18.0,60.7409793814436,26.5,80.01454824577047,-183.92509859019628
45,45,99,4,road,45,,103.5,71.59640102827768,81.5,-75.0,-111.15424164524484,-136.0,80.01454824577047,-183.92509859019628
46,46,99,4,road,46,,73.5,69.3897435897436,73.5,-129.5,-115.86410256410228,-129.5,80.01454824577047,-183.92509859019628
47,47,99,4,road,47,,45.0,61.74967658473486,46.5,-287.0,-290.55109961190146,-285.5,80.01454824577047,-183.92509859019628
48,48,99,4,road,48,,43.0,15.670951156812636,-10.5,-151.0,-48.53727506426776,-3.0,80.01454824577047,-183.92509859019628
49,49,99,4,road,49,,146.5,112.85199485199485,116.5,-161.0,-52.13191763191753,-11.0,80.01454824577047,-183.92509859019628
50,50,99,4,road,50,,181.5,150.66323907455023,103.5,-227.0,-269.33226221079667,-329.0,80.01454824577047,-183.92509859019628
