,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
0,0,149,0,road,0,,-18.5,-1.2616940581542622,-16.5,810.5,369.4639696586594,91.0,20.334097422663945,96.11642185236953
1,1,149,0,road,1,,-37.0,-18.29482323232321,1.0,460.5,522.3421717171709,497.5,20.334097422663945,96.11642185236953
2,2,149,0,road,2,,42.5,16.936237373737413,-3.5,708.5,780.7885101010102,812.0,20.334097422663945,96.11642185236953
3,3,149,0,road,3,,19.0,14.779949558638007,-15.5,784.0,809.3972257250948,583.5,20.334097422663945,96.11642185236953
4,4,149,0,road,4,,35.5,45.86128625472884,29.0,1024.0,873.1860025220685,834.5,20.334097422663945,96.11642185236953
5,5,149,0,road,5,,94.0,73.84489281210585,75.0,776.5,716.7496847414873,555.0,20.334097422663945,96.11642185236953
6,6,149,0,road,6,,23.0,31.86047979798002,29.0,750.0,783.7133838383838,898.5,20.334097422663945,96.11642185236953
7,7,149,0,road,7,,52.0,32.52275600505686,7.5,134.0,371.5448798988623,728.5,20.334097422663945,96.11642185236953
8,8,149,0,road,8,,31.5,30.270700636942703,38.0,337.5,474.3509554140133,640.5,20.334097422663945,96.11642185236953
9,9,149,0,road,9,,-25.5,15.964060529634368,33.5,562.0,526.119798234552,503.0,20.334097422663945,96.11642185236953
10,10,149,0,road,10,,32.5,37.704287515762985,65.5,625.5,674.2522068095836,558.0,20.334097422663945,96.11642185236953
11,11,149,0,road,11,,-31.5,-5.032484076433093,13.5,1162.0,918.896815286624,813.5,20.334097422663945,96.11642185236953
12,12,149,0,road,12,,-16.0,-4.475409836065524,-10.5,469.5,526.3688524590166,556.0,20.334097422663945,96.11642185236953
13,13,149,0,road,13,,-108.0,-56.99683544303798,-21.0,320.5,284.6107594936707,320.5,20.334097422663945,96.11642185236953
14,14,149,0,road,14,,-136.5,-50.84752223634041,-26.5,173.0,188.8551461245238,220.0,20.334097422663945,96.11642185236953
15,15,149,0,road,15,,8.0,-14.787436548223468,-21.0,27.0,-14.519035532995076,-113.0,20.334097422663945,96.11642185236953
16,16,149,0,road,16,,-65.0,-47.765565438373415,-41.5,61.5,-87.95743329097877,-209.0,20.334097422663945,96.11642185236953
17,17,149,0,road,17,,-59.0,-54.02777777777783,-54.0,-109.0,135.57133838383834,344.5,20.334097422663945,96.11642185236953
18,18,149,0,road,18,,-45.0,-40.1016414141414,-30.0,304.5,386.36931818181847,394.0,20.334097422663945,96.11642185236953
19,19,149,0,road,19,,-56.0,-39.26962025316459,-22.5,312.0,299.658227848101,234.0,20.334097422663945,96.11642185236953
20,20,149,0,road,20,,-7.0,-19.73600508905849,-28.0,95.0,141.16984732824403,176.0,20.334097422663945,96.11642185236953
21,21,149,0,road,21,,-11.5,-3.6887626262627577,0.0,568.5,539.4191919191926,483.5,20.334097422663945,96.11642185236953
22,22,149,0,road,22,,-54.5,-26.25954198473289,20.0,311.0,363.1851145038163,430.0,20.334097422663945,96.11642185236953
23,23,149,0,road,23,,-73.5,-40.51199494949503,-18.0,331.0,379.943181818182,409.0,20.334097422663945,96.11642185236953
24,24,149,0,road,24,,-53.0,-22.40304182509488,-27.0,413.0,304.41191381495446,453.0,20.334097422663945,96.11642185236953
25,25,149,0,road,25,,-6.0,-5.083964646464551,-6.5,240.0,173.9526515151515,88.0,20.334097422663945,96.11642185236953
26,26,149,0,road,26,,21.0,12.451388888888914,-4.0,347.0,208.7203282828277,131.5,20.334097422663945,96.11642185236953
27,27,149,0,road,27,,42.0,47.87072243346029,-8.0,109.5,72.40240811153353,-92.5,20.334097422663945,96.11642185236953
28,28,149,0,road,28,,33.0,2.077553593947073,-2.0,238.0,206.7711223203023,171.0,20.334097422663945,96.11642185236953
29,29,149,0,road,29,,67.0,54.5324015247777,29.0,42.0,77.54891994917398,18.5,20.334097422663945,96.11642185236953
30,30,149,0,road,30,,-19.0,8.727215189873505,31.0,131.0,142.81202531645567,184.0,20.334097422663945,96.11642185236953
31,31,149,0,road,31,,43.5,29.255667506297183,29.5,204.5,170.5390428211581,246.5,20.334097422663945,96.11642185236953
32,32,149,0,road,32,,30.5,5.609079445144971,-11.5,67.5,28.600882723833365,-31.5,20.334097422663945,96.11642185236953
